trial_id,base_lr,max_iter,batch_size_per_image,ims_per_batch,augmentation,mAP,AP50,ap_AP-intersection,ap_AP-crosswalk,ap_AP-parkingLane,ap_AP-overhead,ap_AP-median,ap_AP-doubleYellow,ap_AP-bikeLane,ap_AP-overpass
0,0.007376550022673,205,107,16,False,15.155790259979762,27.97499748394832,19.903818953323903,44.54948751012412,4.643145836922779,29.27130724225984,0.0,7.722772277227722,0.0,
1,0.0012562420969338,641,90,13,True,16.030422627479293,27.071368823215906,32.08486562942009,47.04642604156854,0.7407084824724286,32.340958238894004,0.0,0.0,0.0,
2,0.0005397646865673,323,115,6,True,12.267624250731089,23.24857803943666,9.821425904710704,40.79017654389127,0.0129849050478818,35.248782401467764,0.0,0.0,0.0,
3,0.0016862497411838,415,18,13,True,17.783325913391536,29.89482068533813,32.16939943331204,49.53990981755556,2.071442751951101,40.70252939092206,0.0,0.0,0.0,
4,0.0045504571568886,503,96,9,True,18.503317148424248,29.54705649046685,34.5049504950495,55.9963050846132,4.73260674387097,33.3982686065252,0.0,0.891089108910891,0.0,
5,0.0001284412217524,383,51,5,True,9.316810900874431,15.841554967192009,0.0,32.14809713435524,0.0,33.06957917176581,0.0,0.0,0.0,
6,0.0007700791976216,512,44,15,True,15.000622685386794,25.459323335486395,21.04230423042304,46.856533890252734,1.225860346743574,35.879660330288175,0.0,0.0,0.0,
7,0.0002007873730031,759,95,15,False,10.41909338478198,19.42442709934537,2.8263279436032107,33.24190603203544,0.4870099275886603,36.37840979024657,0.0,0.0,0.0,
8,0.000951003697251,166,101,7,True,11.40573822486722,20.153668591272265,5.312017386364658,39.20831603560217,0.0,35.31983415210374,0.0,0.0,0.0,
9,0.0017564340507143,753,34,4,False,14.190053457002383,25.744534066315573,23.14281517437458,40.1299001372296,2.85045152866935,32.802166854692786,0.0,0.405040504050405,0.0,
10,0.0073048993965564,958,70,9,False,16.615425525707817,29.48193234106602,31.386138613861387,41.3195588615344,5.807477302352085,34.87401182299894,0.0,2.9207920792079207,0.0,
11,0.0030111594275209,490,18,11,True,16.98208193617541,29.23564091173006,26.420615275813297,55.19572208562711,3.282530573168822,33.97570561861865,0.0,0.0,0.0,
12,0.0029460174737236,427,72,11,True,16.82268219286941,28.84179825736441,29.71758604431872,49.50644051160223,2.4740091269914988,36.06073966717344,0.0,0.0,0.0,
13,0.002739078540261,650,126,9,True,19.674610869122063,36.55941082803386,32.17821782178218,51.78394854810841,4.260981925850482,39.05358323365789,9.57095709570957,0.8745874587458747,0.0,
14,0.0047178699331309,639,128,2,True,17.78292998409944,29.772482541765743,31.168316831683168,50.81347089412776,5.640261364696844,36.85846079818833,0.0,0.0,0.0,
15,0.0031405931645742,884,128,8,True,18.83071018897236,31.691383159920928,34.35643564356436,53.305379062751,6.537454083148663,37.31867283037218,0.0,0.297029702970297,0.0,
16,0.0003540632296083,972,128,8,True,17.114880930082336,27.678743471619622,30.206270627062704,48.852779027902784,0.7730592371072813,39.97205761850356,0.0,0.0,0.0,
17,0.0025159449752407,847,114,11,True,19.42364105377848,32.81130435544263,39.0146711027378,56.94082979072781,3.192573569830701,35.62434360622231,0.6930693069306931,0.5,0.0,
18,0.0097647412164786,823,78,11,False,17.021117533631543,30.33516451920307,29.63696369636964,43.32987321044064,6.640403429764806,32.95972431303713,0.0,6.580858085808582,0.0,
19,0.0018586710990109,643,114,10,True,16.349319916627632,29.17600952824811,27.03328618576144,50.29382821927959,2.5528940741520825,34.56523093720033,0.0,0.0,0.0,
20,0.0004772193549264,725,83,13,True,14.74270299815392,25.605638411127007,19.29278642149929,45.21132283148405,0.730746366562122,37.96406536753197,0.0,0.0,0.0,
21,0.0029294394589441,905,118,7,True,18.163954851066304,30.39230349441082,31.945290682914447,50.74185966010394,2.70662053798432,39.61364905005879,1.5594059405940597,0.5808580858085809,0.0,
22,0.0043382267945409,858,121,9,True,18.646359997503456,31.339520194965697,34.5063649222065,53.70775683337564,3.445188717431804,36.85200818937822,0.0,2.013201320132013,0.0,
23,0.0024092425521905,832,107,12,True,17.671708871963922,28.94378967304621,32.67326732673268,55.72467203757804,3.5701364524003285,31.16013660437585,0.231023102310231,0.3427265803503427,0.0,
24,0.0011794813502261,681,128,8,True,16.62001509767574,28.312799357633285,33.20770786756095,46.30438953501873,2.2907778455107537,34.537230435639735,0.0,0.0,0.0,
25,0.0044962993078931,588,105,4,True,18.87485746823353,34.384369799918915,28.52663837812353,51.26447400174799,6.404961309795895,32.76668389206913,10.84158415841584,2.31966053748232,0.0,
26,0.0053464475650868,573,105,2,False,17.395220264500384,29.344375303330377,30.11676340047797,50.2527890445826,7.208498084615162,30.58681576965636,0.2772277227722772,3.324447829398324,0.0,
27,0.0021384979222224,581,59,4,True,16.863144193996177,28.53757436746737,25.430393039303933,54.32011565688589,2.8623329793283805,35.42916768245503,0.0,0.0,0.0,
28,0.0062320488051613,780,113,3,True,19.214208793969902,29.420655834536568,37.62545485317762,56.43015680716208,3.394214136415922,36.562402827214,0.0,0.4872329338196977,0.0,
29,0.006424366934042704,787,113,16,False,15.675480580174444,29.337374000488424,30.98289828982898,40.404589344998385,3.6812591949052247,32.84915047052673,0.0,1.8104667609618104,0.0,
